"Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods"
"[Index numbers, 2005=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 15, 2012"
"Line"," ","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Fixed assets and consumer durable goods",15.944,16.309,16.760,17.417,18.126,18.837,19.641,20.361,21.224,21.995,22.745,23.341,24.158,24.929,25.685,26.591,27.582,28.706,29.983,31.339,32.595,33.935,35.261,36.386,37.593,39.001,40.576,41.843,42.830,44.022,45.464,47.135,48.828,50.137,51.408,52.387,53.637,55.398,57.312,59.251,61.106,62.940,64.706,66.319,67.493,68.744,70.255,71.934,73.781,75.894,78.169,80.798,83.734,86.832,89.566,92.077,94.632,97.328,100.000,102.879,105.490,107.394,108.250,109.134,110.192
"2","  Fixed assets",18.551,18.831,19.201,19.757,20.502,21.279,22.115,22.902,23.775,24.626,25.436,26.159,27.059,27.933,28.828,29.839,30.913,32.110,33.425,34.808,36.104,37.437,38.786,39.972,41.191,42.586,44.127,45.437,46.437,47.587,48.990,50.662,52.421,53.872,55.275,56.340,57.553,59.231,61.033,62.798,64.515,66.204,67.859,69.423,70.638,71.877,73.353,74.956,76.751,78.804,80.982,83.424,86.061,88.824,91.188,93.270,95.408,97.704,100.000,102.571,104.870,106.633,107.431,108.171,109.008
"3","    Private",16.329,17.045,17.621,18.396,19.078,19.707,20.392,21.066,21.892,22.695,23.448,24.049,24.819,25.592,26.334,27.202,28.167,29.280,30.544,31.846,33.021,34.288,35.634,36.837,38.162,39.719,41.452,42.867,43.883,45.090,46.646,48.492,50.414,51.946,53.454,54.561,55.823,57.601,59.454,61.224,62.925,64.633,66.296,67.801,68.899,70.046,71.559,73.274,75.200,77.398,79.792,82.488,85.370,88.403,90.912,93.007,95.168,97.560,100.000,102.741,105.147,106.845,107.309,107.731,108.420
"4","      Nonresidential",15.730,16.422,16.919,17.509,18.120,18.661,19.289,19.829,20.509,21.262,21.998,22.455,22.996,23.643,24.243,24.983,25.774,26.772,28.113,29.675,31.057,32.462,33.991,35.351,36.587,37.995,39.764,41.382,42.474,43.613,45.037,46.909,49.039,50.931,52.941,54.486,55.779,57.785,59.940,61.650,63.190,64.810,66.487,68.067,69.111,70.088,71.478,73.115,75.205,77.619,80.414,83.600,87.022,90.746,93.426,95.050,96.490,98.141,100.000,102.468,105.244,107.589,107.995,108.408,109.403
"5","        Equipment and software",7.529,8.317,8.788,9.347,9.882,10.321,10.835,11.178,11.704,12.229,12.756,12.921,13.207,13.591,13.891,14.374,14.954,15.744,16.885,18.337,19.554,20.822,22.226,23.375,24.376,25.681,27.555,29.292,30.299,31.409,33.004,35.130,37.451,39.127,40.763,41.636,42.561,44.384,46.156,47.614,48.788,50.225,51.827,53.071,53.858,54.880,56.657,59.060,62.045,65.453,69.488,74.288,79.796,85.701,89.503,91.820,93.911,96.611,100.000,104.193,108.198,110.556,109.427,109.730,111.605
"6","        Structures",23.670,24.183,24.652,25.204,25.835,26.436,27.128,27.840,28.626,29.563,30.461,31.219,32.002,32.886,33.778,34.736,35.675,36.790,38.193,39.687,41.093,42.492,44.000,45.463,46.849,48.267,49.832,51.264,52.386,53.487,54.659,56.184,58.034,60.049,62.331,64.450,66.040,68.136,70.568,72.449,74.274,76.004,77.690,79.523,80.769,81.669,82.656,83.561,84.818,86.328,88.056,89.944,91.775,93.909,95.808,96.971,97.994,99.004,100.000,101.558,103.709,106.046,107.216,107.685,108.240
"7","      Residential",17.058,17.803,18.464,19.437,20.197,20.923,21.673,22.495,23.481,24.343,25.115,25.884,26.927,27.847,28.756,29.773,30.946,32.192,33.365,34.365,35.301,36.413,37.554,38.574,40.006,41.738,43.438,44.624,45.550,46.838,48.547,50.369,52.071,53.223,54.188,54.810,56.044,57.577,59.108,60.948,62.821,64.627,66.278,67.708,68.865,70.196,71.839,73.637,75.399,77.385,79.383,81.602,83.968,86.348,88.699,91.226,94.028,97.063,100.000,102.975,105.056,106.154,106.673,107.104,107.495
"8","    Government",27.239,25.748,25.263,24.872,25.858,27.227,28.677,29.915,30.955,31.980,33.009,34.219,35.631,36.901,38.404,39.979,41.474,42.992,44.489,46.174,47.939,49.518,50.860,51.979,52.796,53.582,54.419,55.374,56.333,57.288,58.116,59.094,60.198,61.321,62.318,63.218,64.241,65.533,67.129,68.872,70.652,72.263,73.886,75.677,77.351,78.944,80.276,81.437,82.724,84.213,85.563,87.029,88.720,90.454,92.258,94.289,96.340,98.259,100.000,101.926,103.832,105.821,107.742,109.540,110.858
"9","      Nonresidential",27.683,26.119,25.577,25.133,26.102,27.462,28.914,30.179,31.242,32.282,33.307,34.487,35.866,37.120,38.603,40.151,41.659,43.185,44.687,46.380,48.149,49.727,51.044,52.130,52.907,53.663,54.474,55.412,56.345,57.285,58.096,59.069,60.174,61.289,62.262,63.140,64.134,65.418,67.002,68.736,70.504,72.106,73.730,75.519,77.198,78.787,80.113,81.273,82.551,84.040,85.380,86.848,88.551,90.311,92.136,94.194,96.276,98.226,100.000,101.988,103.945,105.980,107.936,109.740,111.065
"10","        Equipment and software",46.056,36.239,31.130,26.114,27.926,31.233,34.720,36.544,37.301,38.006,38.468,39.113,40.782,41.856,43.575,45.626,46.885,47.950,48.435,49.447,50.809,51.031,50.736,50.201,48.181,46.569,45.335,45.066,45.060,45.378,45.626,45.924,46.859,47.982,49.271,50.917,53.458,56.795,61.174,65.936,70.757,74.468,78.511,82.641,85.677,88.188,89.300,89.583,89.701,89.933,89.742,90.171,91.259,92.144,92.805,94.145,95.647,97.005,100.000,103.514,107.173,111.921,116.132,120.228,123.089
